Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (32639281),Joel Embiid,32639281,C/UTIL,11000,PHI@WAS 02/10/2024 07:00PM ET,PHI,63.9
PF,Kevin Durant (32639283),Kevin Durant,32639283,PF/F/UTIL,10000,PHX@GSW 02/10/2024 08:30PM ET,PHX,49.33
PG/SG,Donovan Mitchell (32639286),Donovan Mitchell,32639286,PG/SG/G/UTIL,9900,CLE@TOR 02/10/2024 07:30PM ET,CLE,50.01
PG,Stephen Curry (32639297),Stephen Curry,32639297,PG/G/UTIL,9800,PHX@GSW 02/10/2024 08:30PM ET,GSW,43.95
PG/SG,Devin Booker (32639293),Devin Booker,32639293,PG/SG/G/UTIL,9700,PHX@GSW 02/10/2024 08:30PM ET,PHX,47.3
PG,Jalen Brunson (32639290),Jalen Brunson,32639290,PG/G/UTIL,9600,IND@NYK 02/10/2024 07:30PM ET,NYK,44.4
PG,Trae Young (32639300),Trae Young,32639300,PG/G/UTIL,9500,HOU@ATL 02/10/2024 07:30PM ET,ATL,50.96
PG,LaMelo Ball (32639303),LaMelo Ball,32639303,PG/G/UTIL,9500,MEM@CHA 02/10/2024 07:00PM ET,CHA,46.65
C,Alperen Sengun (32639309),Alperen Sengun,32639309,C/UTIL,9200,HOU@ATL 02/10/2024 07:30PM ET,HOU,43.76
PG,Tyrese Maxey (32639306),Tyrese Maxey,32639306,PG/G/UTIL,9200,PHI@WAS 02/10/2024 07:00PM ET,PHI,43.58
SF/PF,Miles Bridges (32639311),Miles Bridges,32639311,SF/PF/F/UTIL,8700,MEM@CHA 02/10/2024 07:00PM ET,CHA,39.11
PG/SF,Scottie Barnes (32639317),Scottie Barnes,32639317,PG/SF/F/G/UTIL,8500,CLE@TOR 02/10/2024 07:30PM ET,TOR,44.46
C,Julius Randle (32639315),Julius Randle,32639315,C/UTIL,8500,IND@NYK 02/10/2024 07:30PM ET,NYK,44.28
PG,Tyrese Haliburton (32639322),Tyrese Haliburton,32639322,PG/G/UTIL,8400,IND@NYK 02/10/2024 07:30PM ET,IND,49.24
PF,Paolo Banchero (32639325),Paolo Banchero,32639325,PF/F/UTIL,8300,CHI@ORL 02/10/2024 07:00PM ET,ORL,41.92
SG/SF,Donte DiVincenzo (32639328),Donte DiVincenzo,32639328,SG/SF/F/G/UTIL,8300,IND@NYK 02/10/2024 07:30PM ET,NYK,25.03
SF/PF,Pascal Siakam (32639333),Pascal Siakam,32639333,SF/PF/F/UTIL,8200,IND@NYK 02/10/2024 07:30PM ET,IND,39.46
PF/C,Jaren Jackson Jr. (32639337),Jaren Jackson Jr.,32639337,PF/C/F/UTIL,8100,MEM@CHA 02/10/2024 07:00PM ET,MEM,37.29
SF/PF,Tobias Harris (32639341),Tobias Harris,32639341,SF/PF/F/UTIL,8000,PHI@WAS 02/10/2024 07:00PM ET,PHI,33.37
SF/PF,DeMar DeRozan (32639345),DeMar DeRozan,32639345,SF/PF/F/UTIL,7900,CHI@ORL 02/10/2024 07:00PM ET,CHI,39.06
C,Nikola Vucevic (32639349),Nikola Vucevic,32639349,C/UTIL,7800,CHI@ORL 02/10/2024 07:00PM ET,CHI,39.47
SG/SF,Brandon Miller (32639355),Brandon Miller,32639355,SG/SF/F/G/UTIL,7700,MEM@CHA 02/10/2024 07:00PM ET,CHA,27.97
PG/SG,Coby White (32639351),Coby White,32639351,PG/SG/G/UTIL,7700,CHI@ORL 02/10/2024 07:00PM ET,CHI,35.36
PG/SG,Dejounte Murray (32639360),Dejounte Murray,32639360,PG/SG/G/UTIL,7600,HOU@ATL 02/10/2024 07:30PM ET,ATL,38.92
PF/C,Kyle Kuzma (32639364),Kyle Kuzma,32639364,PF/C/F/UTIL,7500,PHI@WAS 02/10/2024 07:00PM ET,WAS,38.42
PG/SG,Jalen Green (32639368),Jalen Green,32639368,PG/SG/G/UTIL,7400,HOU@ATL 02/10/2024 07:30PM ET,HOU,30.9
PF,Jalen Johnson (32639376),Jalen Johnson,32639376,PF/F/UTIL,7400,HOU@ATL 02/10/2024 07:30PM ET,ATL,35.87
SF/PF,Jonathan Kuminga (32639372),Jonathan Kuminga,32639372,SF/PF/F/UTIL,7400,PHX@GSW 02/10/2024 08:30PM ET,GSW,25.96
C,Jarrett Allen (32639379),Jarrett Allen,32639379,C/UTIL,7300,CLE@TOR 02/10/2024 07:30PM ET,CLE,36.6
SG/SF,RJ Barrett (32639385),RJ Barrett,32639385,SG/SF/F/G/UTIL,7300,CLE@TOR 02/10/2024 07:30PM ET,TOR,32.12
PG/SG,Bradley Beal (32639381),Bradley Beal,32639381,PG/SG/G/UTIL,7300,PHX@GSW 02/10/2024 08:30PM ET,PHX,33.19
SF,Franz Wagner (32639390),Franz Wagner,32639390,SF/F/UTIL,7200,CHI@ORL 02/10/2024 07:00PM ET,ORL,36.79
PG,Immanuel Quickley (32639396),Immanuel Quickley,32639396,PG/G/UTIL,7100,CLE@TOR 02/10/2024 07:30PM ET,TOR,27.32
PG,Fred VanVleet (32639393),Fred VanVleet,32639393,PG/G/UTIL,7000,HOU@ATL 02/10/2024 07:30PM ET,HOU,38.74
SG/SF,Josh Hart (32639401),Josh Hart,32639401,SG/SF/F/G/UTIL,7000,IND@NYK 02/10/2024 07:30PM ET,NYK,23.54
C,Jusuf Nurkic (32639399),Jusuf Nurkic,32639399,C/UTIL,7000,PHX@GSW 02/10/2024 08:30PM ET,PHX,34.02
PG,Darius Garland (32639406),Darius Garland,32639406,PG/G/UTIL,6900,CLE@TOR 02/10/2024 07:30PM ET,CLE,32.36
PF/C,Precious Achiuwa (32639409),Precious Achiuwa,32639409,PF/C/F/UTIL,6900,IND@NYK 02/10/2024 07:30PM ET,NYK,19.12
PF/C,Evan Mobley (32639413),Evan Mobley,32639413,PF/C/F/UTIL,6800,CLE@TOR 02/10/2024 07:30PM ET,CLE,37.46
SF/PF,OG Anunoby (32639417),OG Anunoby,32639417,SF/PF/F/UTIL,6800,IND@NYK 02/10/2024 07:30PM ET,NYK,28.15
C,Isaiah Hartenstein (32639421),Isaiah Hartenstein,32639421,C/UTIL,6700,IND@NYK 02/10/2024 07:30PM ET,NYK,25.14
C,Jakob Poeltl (32639434),Jakob Poeltl,32639434,C/UTIL,6500,CLE@TOR 02/10/2024 07:30PM ET,TOR,29.42
SF/PF,Bojan Bogdanovic (32639423),Bojan Bogdanovic,32639423,SF/PF/F/UTIL,6500,IND@NYK 02/10/2024 07:30PM ET,NYK,30.57
PF/C,Onyeka Okongwu (32639430),Onyeka Okongwu,32639430,PF/C/F/UTIL,6400,HOU@ATL 02/10/2024 07:30PM ET,ATL,23.85
PF,Kelly Oubre Jr. (32639427),Kelly Oubre Jr.,32639427,PF/F/UTIL,6400,PHI@WAS 02/10/2024 07:00PM ET,PHI,24.7
C,Andre Drummond (32639436),Andre Drummond,32639436,C/UTIL,6300,CHI@ORL 02/10/2024 07:00PM ET,CHI,22.88
SG,Bogdan Bogdanovic (32639438),Bogdan Bogdanovic,32639438,SG/G/UTIL,6200,HOU@ATL 02/10/2024 07:30PM ET,ATL,29.18
C,Nick Richards (32639449),Nick Richards,32639449,C/UTIL,6200,MEM@CHA 02/10/2024 07:00PM ET,CHA,23.77
C,Clint Capela (32639447),Clint Capela,32639447,C/UTIL,6100,HOU@ATL 02/10/2024 07:30PM ET,ATL,30.65
SF,Deni Avdija (32639464),Deni Avdija,32639464,SF/F/UTIL,6100,PHI@WAS 02/10/2024 07:00PM ET,WAS,28.66
PG/SG,Brandin Podziemski (32639443),Brandin Podziemski,32639443,PG/SG/G/UTIL,6100,PHX@GSW 02/10/2024 08:30PM ET,GSW,24.46
PG/SG,Amen Thompson (32639456),Amen Thompson,32639456,PG/SG/G/UTIL,6000,HOU@ATL 02/10/2024 07:30PM ET,HOU,19.21
SF/PF,Saddiq Bey (32639469),Saddiq Bey,32639469,SF/PF/F/UTIL,6000,HOU@ATL 02/10/2024 07:30PM ET,ATL,26.53
SG/SF,Vince Williams Jr. (32639451),Vince Williams Jr.,32639451,SG/SF/F/G/UTIL,6000,MEM@CHA 02/10/2024 07:00PM ET,MEM,22.88
C,Myles Turner (32639441),Myles Turner,32639441,C/UTIL,6000,IND@NYK 02/10/2024 07:30PM ET,IND,32.27
PF/C,Draymond Green (32639460),Draymond Green,32639460,PF/C/F/UTIL,6000,PHX@GSW 02/10/2024 08:30PM ET,GSW,28.67
C,Paul Reed (32639467),Paul Reed,32639467,C/UTIL,5900,PHI@WAS 02/10/2024 07:00PM ET,PHI,17.26
PG,Tyus Jones (32639473),Tyus Jones,32639473,PG/G/UTIL,5900,PHI@WAS 02/10/2024 07:00PM ET,WAS,28.85
PG/SG,Caris LeVert (32639489),Caris LeVert,32639489,PG/SG/G/UTIL,5800,CLE@TOR 02/10/2024 07:30PM ET,CLE,28.53
PG/SG,De'Anthony Melton (32639476),De'Anthony Melton,32639476,PG/SG/G/UTIL,5800,PHI@WAS 02/10/2024 07:00PM ET,PHI,26.26
PG/SG,Jordan Poole (32639485),Jordan Poole,32639485,PG/SG/G/UTIL,5800,PHI@WAS 02/10/2024 07:00PM ET,WAS,26.9
SG/SF,Aaron Nesmith (32639480),Aaron Nesmith,32639480,SG/SF/F/G/UTIL,5800,IND@NYK 02/10/2024 07:30PM ET,IND,23.83
C,Mark Williams (32639493),Mark Williams,32639493,C/UTIL,5700,MEM@CHA 02/10/2024 07:00PM ET,CHA,30.55
SG,Klay Thompson (32639495),Klay Thompson,32639495,SG/G/UTIL,5700,PHX@GSW 02/10/2024 08:30PM ET,GSW,28.03
SG/SF,Max Strus (32639501),Max Strus,32639501,SG/SF/F/G/UTIL,5600,CLE@TOR 02/10/2024 07:30PM ET,CLE,27.5
PF,Jabari Smith Jr. (32639498),Jabari Smith Jr.,32639498,PF/F/UTIL,5600,HOU@ATL 02/10/2024 07:30PM ET,HOU,28.92
PF/C,Santi Aldama (32639510),Santi Aldama,32639510,PF/C/F/UTIL,5600,MEM@CHA 02/10/2024 07:00PM ET,MEM,23.72
PG/SG,Ayo Dosunmu (32639506),Ayo Dosunmu,32639506,PG/SG/G/UTIL,5600,CHI@ORL 02/10/2024 07:00PM ET,CHI,18.58
PG,Chris Paul (32639518),Chris Paul,32639518,PG/G/UTIL,5600,PHX@GSW 02/10/2024 08:30PM ET,GSW,27.15
PF,Bruce Brown (32639521),Bruce Brown,32639521,PF/F/UTIL,5500,CLE@TOR 02/10/2024 07:30PM ET,TOR,23.98
SF/PF,Tari Eason (32639514),Tari Eason,32639514,SF/PF/F/UTIL,5500,HOU@ATL 02/10/2024 07:30PM ET,HOU,25.01
C,Marvin Bagley III (32639539),Marvin Bagley III,32639539,C/UTIL,5500,PHI@WAS 02/10/2024 07:00PM ET,WAS,21.05
SG,Cody Martin (32639524),Cody Martin,32639524,SG/G/UTIL,5500,MEM@CHA 02/10/2024 07:00PM ET,CHA,20.42
PG/SG,Alec Burks (32639527),Alec Burks,32639527,PG/SG/G/UTIL,5500,IND@NYK 02/10/2024 07:30PM ET,NYK,20.4
SG,Luke Kennard (32639533),Luke Kennard,32639533,SG/G/UTIL,5400,MEM@CHA 02/10/2024 07:00PM ET,MEM,20.79
C,Wendell Carter Jr. (32639531),Wendell Carter Jr.,32639531,C/UTIL,5400,CHI@ORL 02/10/2024 07:00PM ET,ORL,24.24
PG/SG,Miles McBride (32639541),Miles McBride,32639541,PG/SG/G/UTIL,5400,IND@NYK 02/10/2024 07:30PM ET,NYK,10.26
SF,Andrew Wiggins (32639536),Andrew Wiggins,32639536,SF/F/UTIL,5400,PHX@GSW 02/10/2024 08:30PM ET,GSW,22.08
PG/SG,Alex Caruso (32639545),Alex Caruso,32639545,PG/SG/G/UTIL,5300,CHI@ORL 02/10/2024 07:00PM ET,CHI,23.94
SG/SF,Grayson Allen (32639549),Grayson Allen,32639549,SG/SF/F/G/UTIL,5300,PHX@GSW 02/10/2024 08:30PM ET,PHX,26.15
SF/PF,Nicolas Batum (32639557),Nicolas Batum,32639557,SF/PF/F/UTIL,5200,PHI@WAS 02/10/2024 07:00PM ET,PHI,17.1
PF,Gregory Jackson (32639554),Gregory Jackson,32639554,PF/F/UTIL,5200,MEM@CHA 02/10/2024 07:00PM ET,MEM,17.9
SG/SF,Bennedict Mathurin (32639561),Bennedict Mathurin,32639561,SG/SF/F/G/UTIL,5200,IND@NYK 02/10/2024 07:30PM ET,IND,23.72
SG/SF,Cam Whitmore (32639569),Cam Whitmore,32639569,SG/SF/F/G/UTIL,5000,HOU@ATL 02/10/2024 07:30PM ET,HOU,19.43
SG/SF,Buddy Hield (32639574),Buddy Hield,32639574,SG/SF/F/G/UTIL,5000,PHI@WAS 02/10/2024 07:00PM ET,PHI,23.76
PG,Scotty Pippen Jr. (32639566),Scotty Pippen Jr.,32639566,PG/G/UTIL,5000,MEM@CHA 02/10/2024 07:00PM ET,MEM,24.71
SG/SF,Dillon Brooks (32639579),Dillon Brooks,32639579,SG/SF/F/G/UTIL,4900,HOU@ATL 02/10/2024 07:30PM ET,HOU,23.05
C,Kelly Olynyk (32639595),Kelly Olynyk,32639595,C/UTIL,4800,CLE@TOR 02/10/2024 07:30PM ET,TOR,22.64
SF/PF,De'Andre Hunter (32639584),De'Andre Hunter,32639584,SF/PF/F/UTIL,4800,HOU@ATL 02/10/2024 07:30PM ET,ATL,23.62
SF/PF,Corey Kispert (32639588),Corey Kispert,32639588,SF/PF/F/UTIL,4800,PHI@WAS 02/10/2024 07:00PM ET,WAS,19.08
PG,Jacob Gilyard (32639601),Jacob Gilyard,32639601,PG/G/UTIL,4800,MEM@CHA 02/10/2024 07:00PM ET,MEM,13.42
SG,Eric Gordon (32639592),Eric Gordon,32639592,SG/G/UTIL,4800,PHX@GSW 02/10/2024 08:30PM ET,PHX,21.99
PF/C,KJ Martin (32639604),KJ Martin,32639604,PF/C/F/UTIL,4700,PHI@WAS 02/10/2024 07:00PM ET,PHI,6.51
PG/SG,Jalen Suggs (32639597),Jalen Suggs,32639597,PG/SG/G/UTIL,4700,CHI@ORL 02/10/2024 07:00PM ET,ORL,24.08
C,Mo Bamba (32639608),Mo Bamba,32639608,C/UTIL,4600,PHI@WAS 02/10/2024 07:00PM ET,PHI,12.08
PG,Markelle Fultz (32639614),Markelle Fultz,32639614,PG/G/UTIL,4600,CHI@ORL 02/10/2024 07:00PM ET,ORL,21.25
PG/SG,Gary Trent Jr. (32639610),Gary Trent Jr.,32639610,PG/SG/G/UTIL,4500,CLE@TOR 02/10/2024 07:30PM ET,TOR,19.77
SG/SF,Bilal Coulibaly (32639621),Bilal Coulibaly,32639621,SG/SF/F/G/UTIL,4500,PHI@WAS 02/10/2024 07:00PM ET,WAS,19.26
PG/SG,Andrew Nembhard (32639617),Andrew Nembhard,32639617,PG/SG/G/UTIL,4500,IND@NYK 02/10/2024 07:30PM ET,IND,19.24
C,Richaun Holmes (32639637),Richaun Holmes,32639637,C/UTIL,4400,PHI@WAS 02/10/2024 07:00PM ET,WAS,9.46
SG/SF,John Konchar (32639629),John Konchar,32639629,SG/SF/F/G/UTIL,4400,MEM@CHA 02/10/2024 07:00PM ET,MEM,14.88
PG,Ish Smith (32639634),Ish Smith,32639634,PG/G/UTIL,4400,MEM@CHA 02/10/2024 07:00PM ET,CHA,10.98
SF,Nick Smith Jr. (32639658),Nick Smith Jr.,32639658,SF/F/UTIL,4300,MEM@CHA 02/10/2024 07:00PM ET,CHA,11.42
PG,T.J. McConnell (32639626),T.J. McConnell,32639626,PG/G/UTIL,4300,IND@NYK 02/10/2024 07:30PM ET,IND,21.61
PF/C,Jalen Smith (32639639),Jalen Smith,32639639,PF/C/F/UTIL,4300,IND@NYK 02/10/2024 07:30PM ET,IND,21.5
PF/C,Eugene Omoruyi (32639654),Eugene Omoruyi,32639654,PF/C/F/UTIL,4200,PHI@WAS 02/10/2024 07:00PM ET,WAS,10.18
PG,Kyle Lowry (32639651),Kyle Lowry,32639651,PG/G/UTIL,4200,MEM@CHA 02/10/2024 07:00PM ET,CHA,21.59
SF/PF,Patrick Williams (32639647),Patrick Williams,32639647,SF/PF/F/UTIL,4200,CHI@ORL 02/10/2024 07:00PM ET,CHI,20.52
SF/PF,David Roddy (32639643),David Roddy,32639643,SF/PF/F/UTIL,4200,PHX@GSW 02/10/2024 08:30PM ET,PHX,17.41
PF/C,Grant Williams (32639665),Grant Williams,32639665,PF/C/F/UTIL,4100,MEM@CHA 02/10/2024 07:00PM ET,CHA,17.65
PG,Derrick Rose (32639669),Derrick Rose,32639669,PG/G/UTIL,4100,MEM@CHA 02/10/2024 07:00PM ET,MEM,16.42
SF/PF,Royce O'Neale (32639661),Royce O'Neale,32639661,SF/PF/F/UTIL,4100,PHX@GSW 02/10/2024 08:30PM ET,PHX,20.28
SF/PF,Isaac Okoro (32639672),Isaac Okoro,32639672,SF/PF/F/UTIL,4000,CLE@TOR 02/10/2024 07:30PM ET,CLE,18.18
PG,Cameron Payne (32639680),Cameron Payne,32639680,PG/G/UTIL,4000,PHI@WAS 02/10/2024 07:00PM ET,PHI,13.17
SG/SF,Bryce McGowens (32639683),Bryce McGowens,32639683,SG/SF/F/G/UTIL,4000,MEM@CHA 02/10/2024 07:00PM ET,CHA,10.51
PF/C,Dario Saric (32639676),Dario Saric,32639676,PF/C/F/UTIL,4000,PHX@GSW 02/10/2024 08:30PM ET,GSW,22.23
SG,Ziaire Williams (32639692),Ziaire Williams,32639692,SG/G/UTIL,3900,MEM@CHA 02/10/2024 07:00PM ET,MEM,15.68
PF/C,Moritz Wagner (32639688),Moritz Wagner,32639688,PF/C/F/UTIL,3900,CHI@ORL 02/10/2024 07:00PM ET,ORL,20.1
C,Taj Gibson (32639695),Taj Gibson,32639695,C/UTIL,3900,IND@NYK 02/10/2024 07:30PM ET,NYK,5.17
SG,Gradey Dick (32639697),Gradey Dick,32639697,SG/G/UTIL,3800,CLE@TOR 02/10/2024 07:30PM ET,TOR,9.9
